model_id,benchmark_id,score,evaluated_at,source_grade,harness,reasoning_effort,token_budget,source_url,notes
qwen3.8-max,gdpval-aa-v2-2026-09,1721,2026-09-04,A,Artificial Analysis Stirrup,max,,https://artificialanalysis.ai/evaluations/gdpval-aa,Current independent leaderboard.
claude-fable-5,gdpval-aa-v2-2026-09,1723,2026-09-04,A,Artificial Analysis Stirrup,max,,https://artificialanalysis.ai/evaluations/gdpval-aa,Current independent leaderboard.
claude-opus-4.8,gdpval-aa-v2-2026-09,1578,2026-09-04,A,Artificial Analysis Stirrup,max,,https://artificialanalysis.ai/evaluations/gdpval-aa,Current independent leaderboard.
muse-spark-1.2,tau3-banking-aa-2026-09,35.0,2026-09-02,B,Artificial Analysis tau3,xhigh,,https://artificialanalysis.ai/articles/muse-spark-1-3,September predecessor baseline in the Spark 1.3 comparison.
muse-spark-1.3,tau3-banking-aa-2026-09,47.0,2026-09-02,A,Artificial Analysis tau3,xhigh,,https://artificialanalysis.ai/articles/muse-spark-1-3,Available xhigh result; max preview scores 52 and is intentionally excluded.
claude-fable-5.1,tau3-banking-aa-2026-09,47.0,2026-09-02,A,Artificial Analysis tau3,max,,https://artificialanalysis.ai/articles/muse-spark-1-3,Current comparison row.
qwen3.8-max,tau3-banking-aa-2026-09,51.0,2026-09-02,A,Artificial Analysis tau3,max,,https://artificialanalysis.ai/articles/muse-spark-1-3,Current comparison row.
grok-4.6,tau3-banking-aa-2026-09,51.0,2026-09-02,A,Artificial Analysis tau3,high,,https://artificialanalysis.ai/articles/muse-spark-1-3,Current comparison row.
glm-5.3,tau3-banking-aa-2026-09,50.0,2026-09-02,A,Artificial Analysis tau3,max,,https://artificialanalysis.ai/articles/muse-spark-1-3,Current comparison row.
glm-5.3-flash,tau3-banking-aa-2026-09,47.0,2026-09-02,A,Artificial Analysis tau3,,,https://artificialanalysis.ai/articles/muse-spark-1-3,Current comparison row.
