model_id,benchmark_id,score,evaluated_at,source_grade,harness,reasoning_effort,token_budget,source_url,notes
gpt-5.4,mcp-atlas-2026-04-full,70.60,2026-09-04,A,Scale MCP Atlas updated protocol,xhigh,,https://labs.scale.com/leaderboard/mcp_atlas,All-1000 pass rate under the April standardized protocol.
gemini-3-pro,mcp-atlas-2026-04-full,70.30,2026-09-04,A,Scale MCP Atlas updated protocol,,,https://labs.scale.com/leaderboard/mcp_atlas,All-1000 pass rate under the April standardized protocol.
claude-sonnet-4.6,mcp-atlas-2026-04-full,69.50,2026-09-04,A,Scale MCP Atlas updated protocol,,,https://labs.scale.com/leaderboard/mcp_atlas,All-1000 pass rate under the April standardized protocol.
gpt-5.2,mcp-atlas-2026-04-full,67.60,2026-09-04,A,Scale MCP Atlas updated protocol,xhigh,,https://labs.scale.com/leaderboard/mcp_atlas,All-1000 pass rate under the April standardized protocol.
kimi-k2.5,mcp-atlas-2026-04-full,64.40,2026-09-04,A,Scale MCP Atlas updated protocol,,,https://labs.scale.com/leaderboard/mcp_atlas,All-1000 pass rate under the April standardized protocol.
claude-sonnet-4.5,mcp-atlas-2026-04-full,59.50,2026-09-04,A,Scale MCP Atlas updated protocol,thinking,,https://labs.scale.com/leaderboard/mcp_atlas,All-1000 pass rate under the April standardized protocol.
gemini-3.1-flash-lite,mcp-atlas-2026-04-full,57.10,2026-09-04,A,Scale MCP Atlas updated protocol,high,,https://labs.scale.com/leaderboard/mcp_atlas,All-1000 pass rate under the April standardized protocol.
gpt-5.1,mcp-atlas-2026-04-full,50.10,2026-09-04,A,Scale MCP Atlas updated protocol,high,,https://labs.scale.com/leaderboard/mcp_atlas,All-1000 pass rate under the April standardized protocol.
gemini-3.1-pro,enigmaeval-2026-07,36.78,2026-09-04,A,Scale EnigmaEval,high,,https://labs.scale.com/leaderboard/enigma_eval,Current official leaderboard snapshot.
muse-spark-1.1,visualtoolbench-2025-10-apr,44.77,2026-09-04,A,Scale VisualToolBench,,,https://labs.scale.com/leaderboard/vtb,Average Pass Rate primary metric.
gpt-5.4,visualtoolbench-2025-10-apr,29.17,2026-09-04,A,Scale VisualToolBench,high,,https://labs.scale.com/leaderboard/vtb,Average Pass Rate primary metric.
gemini-3.1-pro,visualtoolbench-2025-10-apr,28.97,2026-09-04,A,Scale VisualToolBench,,,https://labs.scale.com/leaderboard/vtb,Average Pass Rate primary metric.
claude-opus-4.6,visualtoolbench-2025-10-apr,27.52,2026-09-04,A,Scale VisualToolBench,thinking,,https://labs.scale.com/leaderboard/vtb,Average Pass Rate primary metric.
gemini-3-pro,visualtoolbench-2025-10-apr,26.85,2026-09-04,A,Scale VisualToolBench,,,https://labs.scale.com/leaderboard/vtb,Average Pass Rate primary metric.
claude-sonnet-4.5,visualtoolbench-2025-10-apr,6.20,2026-09-04,A,Scale VisualToolBench,thinking,,https://labs.scale.com/leaderboard/vtb,Average Pass Rate primary metric.
muse-spark-1.1,multichallenge-2026-02,75.30,2026-09-04,A,Scale MultiChallenge,,,https://labs.scale.com/leaderboard/multichallenge,Current refreshed leaderboard score.
gemini-3.1-pro,multichallenge-2026-02,71.37,2026-09-04,A,Scale MultiChallenge,,,https://labs.scale.com/leaderboard/multichallenge,Current refreshed leaderboard score.
gemini-3-pro,multichallenge-2026-02,65.67,2026-09-04,A,Scale MultiChallenge,,,https://labs.scale.com/leaderboard/multichallenge,Current refreshed leaderboard score.
gpt-5.1,multichallenge-2026-02,63.41,2026-09-04,A,Scale MultiChallenge,thinking,,https://labs.scale.com/leaderboard/multichallenge,Current refreshed leaderboard score.
kimi-k2.5,multichallenge-2026-02,61.39,2026-09-04,A,Scale MultiChallenge,,,https://labs.scale.com/leaderboard/multichallenge,Current refreshed leaderboard score.
gemini-3.1-flash-lite,multichallenge-2026-02,60.61,2026-09-04,A,Scale MultiChallenge,,,https://labs.scale.com/leaderboard/multichallenge,Current refreshed leaderboard score.
claude-opus-4.6,multichallenge-2026-02,56.02,2026-09-04,A,Scale MultiChallenge,default,,https://labs.scale.com/leaderboard/multichallenge,Non-thinking row on the current refreshed leaderboard.
claude-sonnet-4.5,multichallenge-2026-02,55.32,2026-09-04,A,Scale MultiChallenge,thinking,,https://labs.scale.com/leaderboard/multichallenge,Current refreshed leaderboard score.
claude-opus-4.8,osworld-2.0-v2026.06.24-binary,20.60,2026-09-03,A,OSWorld 2.0 batched tool,max,,https://osworld-v2.xlang.ai/,Official v2026.06.24 binary completion score at a 500-step budget.
claude-opus-4.7,osworld-2.0-v2026.06.24-binary,18.20,2026-09-03,A,OSWorld 2.0 batched tool,max,,https://osworld-v2.xlang.ai/,Official v2026.06.24 binary completion score at a 500-step budget.
gpt-5.5,osworld-2.0-v2026.06.24-binary,13.00,2026-09-03,A,OSWorld 2.0 batch tool,xhigh,,https://osworld-v2.xlang.ai/,Official v2026.06.24 binary completion score at a 500-step budget.
minimax-m3,osworld-2.0-v2026.06.24-binary,4.60,2026-09-03,A,OSWorld 2.0 standard,enabled,,https://osworld-v2.xlang.ai/,Official v2026.06.24 binary completion score at a 500-step budget.
